metric,survey_mapping,types,default_value
farm_id,C7,string,
general.grazing_area_ha,C43,float,
milk_year,D14,int,
total_milk_production_litres,D15,float,
milk_fat_content_percent,D16,int,
milk_protein_content_percent,D17,int,
main_breed_variety,C23,string,
calf_dairy.herd_count,D27,int,
calf_dairy.herd_weight_kg,E27,int,
calf_dairy.sold_count,F27,int,
calf_dairy.sold_weight_kg,G27,int,
calf_dairy.purchased_count,H27,int,
calf_dairy.purchased_weight_kg,I27,int,
heifer.herd_count,D28,int,
heifer.herd_weight_kg,E28,int,
heifer.sold_count,F28,int,
heifer.sold_weight_kg,G28,int,
heifer.purchased_count,H28,int,
heifer.purchased_weight_kg,I28,int,
cow_milk.herd_count,D29,int,
cow_milk.herd_weight_kg,E29,int,
cow_milk.sold_count,F29,int,
cow_milk.sold_weight_kg,G29,int,
cow_milk.purchased_count,H29,int,
cow_milk.purchased_weight_kg,I29,int,
cow_dry.herd_count,D30,int,
cow_dry.herd_weight_kg,E30,int,
cow_dry.sold_count,F30,int,
cow_dry.sold_weight_kg,G30,int,
cow_dry.purchased_count,H30,int,
cow_dry.purchased_weight_kg,I30,int,
calf_dairy.grazing_days,C36,int,0
calf_dairy.grazing_hours_per_day,D36,int,0
calf_dairy.grazing_quality,E36,string,LOW
heifer.grazing_days,C37,int,0
heifer.grazing_hours_per_day,D37,int,0
heifer.grazing_quality,E37,string,LOW
cow_milk.grazing_days,C38,int,0
cow_milk.grazing_hours_per_day,D38,int,0
cow_milk.grazing_quality,E38,string,LOW
cow_dry.grazing_days,C39,int,0
cow_dry.grazing_hours_per_day,D39,int,0
cow_dry.grazing_quality,E39,string,LOW
fertilizers.cattle_slurry.t_per_ha,C47,float,0
fertilizers.cattle_manure.t_per_ha,C48,float,0
fertilizers.custom_npk.t_per_ha,C49,float,0
fertilizers.ammonium_nitrate.t_per_ha,C50,float,0
fertilizers.urea_ammonium_nitrate.t_per_ha,C51,float,0
fertilizers.urea.t_per_ha,C52,float,0
fertilizers.calcium_nitrate.t_per_ha,C53,float,0
